# theta_degrees,signal_th,noise_th,fisher_th,signal_emp,noise_emp,fisher_emp
-9.000000000000000000e+01,1.018350045135982842e-34,1.000000000000000000e+00,1.018350045135982842e-34,6.281061654803929721e-05,9.990745356216708117e-01,6.286879938237601643e-05
-8.900000000000000000e+01,8.460735845892654794e-04,1.000662341514817255e+00,8.455135658532596417e-04,4.464367109616832765e-04,9.994557056347725954e-01,4.466798362796310044e-04
-8.800000000000000000e+01,3.383263528021884098e-03,1.002415408510248573e+00,3.375111255572139490e-03,2.517728998037598205e-03,1.000921014063489656e+00,2.515412267963329767e-03
-8.700000000000000000e+01,7.608478655175943128e-03,1.005257065144198991e+00,7.568689561097036861e-03,6.274163927182089921e-03,1.003468675655214692e+00,6.252476115495459418e-03
-8.600000000000000000e+01,1.351657119226340811e-02,1.009183849295783864e+00,1.339356669421074703e-02,1.171116486106836378e-02,1.007095586476736138e+00,1.162865274987369933e-02
-8.500000000000000000e+01,2.110034303859989122e-02,1.014190976783389653e+00,2.080509837064591777e-02,1.882210765156440771e-02,1.011797327695900472e+00,1.860264613905114259e-02
-8.400000000000000000e+01,3.035055453638101780e-02,1.020272347193461160e+00,2.974750283085544900e-02,2.759832871023672196e-02,1.017568170965279517e+00,2.712184745721415297e-02
-8.300000000000000000e+01,4.125593572778266799e-02,1.027420551312917096e+00,4.015486713309623229e-02,3.802913556359852065e-02,1.024401085401280387e+00,3.712328706553612301e-02
-8.200000000000000000e+01,5.380320008566826656e-02,1.035626880156135021e+00,5.195230166057170085e-02,5.010181988024155209e-02,1.032287746150192476e+00,4.853474243697163820e-02
-8.100000000000000000e+01,6.797706070117559563e-02,1.044881335575506442e+00,6.505720638959902602e-02,6.380167295398055105e-02,1.041218544530739587e+00,6.127596678825475429e-02
-8.000000000000000000e+01,8.376024890846067716e-02,1.055172642442641751e+00,7.938061084919931232e-02,7.911200362414579079e-02,1.051182599740779322e+00,7.526000111080105581e-02
-7.900000000000000000e+01,1.011335353239063845e-01,1.066488262385380414e+00,9.482854982173383185e-02,9.601415861119108608e-02,1.062167772113883801e+00,9.039453194866527153e-02
-7.800000000000000000e+01,1.200757532741654476e-01,1.078814409063857616e+00,1.113034385389432418e-01,1.144875452428422841e-01,1.074160677909651751e+00,1.065832585359933471e-01
-7.700000000000000000e+01,1.405638245844901824e-01,1.092136064967043074e+00,1.287054141818235187e-01,1.345096565430955737e-01,1.087146705619737030e+00,1.237272355679146646e-01
-7.600000000000000000e+01,1.625727876959348339e-01,1.106436999709262903e+00,1.469336146013319189e-01,1.560560986535017569e-01,1.101110033769719054e+00,1.417261616618222531e-01
-7.500000000000000000e+01,1.860758280771686313e-01,1.121699789804423864e+00,1.658873700151198560e-01,1.791006205533242357e-01,1.116033650195132898e+00,1.604795881575876992e-01
-7.400000000000000000e+01,2.110443108938527268e-01,1.137905839893848414e+00,1.854672886761354333e-01,2.036151460423643589e-01,1.131899372768170986e+00,1.798880279829147277e-01
-7.300000000000000000e+01,2.374478158957755713e-01,1.155035405401852344e+00,2.055762228458826169e-01,2.295698079474871589e-01,1.148687871549805228e+00,1.998539495657357945e-01
-7.200000000000000000e+01,2.652541744792398237e-01,1.173067616591471074e+00,2.261201065715007508e-01,2.569329845111700261e-01,1.166378692340340306e+00,2.202826459352010824e-01
-7.100000000000000000e+01,2.944295088795528814e-01,1.191980503991020068e+00,2.470086615458359780e-01,2.856713379177446277e-01,1.184950281599705058e+00,2.410829739894934376e-01
-7.000000000000000000e+01,3.249382734458641786e-01,1.211751025160508810e+00,2.681559715642268804e-01,3.157498549103887053e-01,1.204380012707120695e+00,2.621679632499616108e-01
-6.900000000000000000e+01,3.567432979480639754e-01,1.232355092765309079e+00,2.894809296787663189e-01,3.471318894493881091e-01,1.224644213528153891e+00,2.834552971506019703e-01
-6.800000000000000000e+01,3.898058328629843694e-01,1.253767603922856466e+00,3.109075650410320080e-01,3.797792073596870654e-01,1.245718195255564265e+00,3.048676729665763530e-01
-6.700000000000000000e+01,4.240855965847255549e-01,1.275962470786651481e+00,3.323652586139699827e-01,4.136520329133470120e-01,1.267576282488816153e+00,3.263330488490712722e-01
-6.600000000000000000e+01,4.595408245015861204e-01,1.298912652330276751e+00,3.537888584556937999e-01,4.487090972901400243e-01,1.290191844515595099e+00,3.477847881286280085e-01
-6.500000000000000000e+01,4.961283198798068228e-01,1.322590187292725039e+00,3.751187061922456323e-01,4.849076888572488309e-01,1.313537327757232420e+00,3.691617121267446455e-01
-6.400000000000000000e+01,5.338035064921418105e-01,1.346966228244890429e+00,3.963005866804045763e-01,5.222037052068148055e-01,1.337584289338493937e+00,3.904080732475350146e-01
-6.300000000000000000e+01,5.725204829271209883e-01,1.372011076735714985e+00,4.172856128022378597e-01,5.605517068879262155e-01,1.362303431740843118e+00,4.114734601905946088e-01
-6.200000000000000000e+01,6.122320785128522180e-01,1.397694219475173361e+00,4.380300569195614835e-01,5.999049727675936916e-01,1.387664638496954650e+00,4.323126468203291606e-01
-6.100000000000000000e+01,6.528899107872159213e-01,1.423984365510023276e+00,4.584951398348904861e-01,6.402155569532452795e-01,1.413637010882991207e+00,4.528853956316207796e-01
-6.000000000000000000e+01,6.944444444444450859e-01,1.450849484347009222e+00,4.786467872351328201e-01,6.814343472074232411e-01,1.440188905563937194e+00,4.731562259470349363e-01
-5.900000000000000000e+01,7.368450516862626865e-01,1.478256844977079876e+00,4.984553626049249564e-01,7.235111247834693504e-01,1.467287973146129465e+00,4.930941560381847388e-01
-5.800000000000000000e+01,7.800400739040593834e-01,1.506173055753090351e+00,5.178953845473204254e-01,7.663946256093377984e-01,1.494901197590011277e+00,5.126724273449460023e-01
-5.700000000000000000e+01,8.239768846169444050e-01,1.534564105072371509e+00,5.369452353885763030e-01,8.100326027449697985e-01,1.522994936435088764e+00,5.318682179213496397e-01
-5.600000000000000000e+01,8.686019535890111554e-01,1.563395402814634183e+00,5.555868669085487488e-01,8.543718900371407576e-01,1.551534961788087363e+00,5.506623512063875125e-01
-5.500000000000000000e+01,9.138609120476826053e-01,1.592631822484700033e+00,5.738055080564370414e-01,8.993584668942286031e-01,1.580486502024368356e+00,5.690390052317967351e-01
-5.400000000000000000e+01,9.596986189236846876e-01,1.622237744008727001e+00,5.915893786025249179e-01,9.449375241019843941e-01,1.609814284151797725e+00,5.869854264585971926e-01
-5.300000000000000000e+01,1.006059228031946029e+00,1.652177097131778627e+00,6.089294118520892640e-01,9.910535306001135858e-01,1.639482576785450174e+00,6.044916515936888946e-01
-5.200000000000000000e+01,1.052886256111572827e+00,1.682413405363880843e+00,6.258189888137805079e-01,1.037650301138326459e+00,1.669455233680803286e+00,6.215502399848855664e-01
-5.100000000000000000e+01,1.100122651642000404e+00,1.712909830420997093e+00,6.422536855729372718e-01,1.084671064729406886e+00,1.699695737772362492e+00,6.381560185301089483e-01
-5.000000000000000000e+01,1.147710864351487725e+00,1.743629217106811513e+00,6.582310350682665234e-01,1.132058533815908596e+00,1.730167245664086417e+00,6.543058404630662794e-01
-4.900000000000000000e+01,1.195592915333242967e+00,1.774534138580604159e+00,6.737503040034841240e-01,1.179754974066228979e+00,1.760832632517383312e+00,6.699983588897863163e-01
-4.800000000000000000e+01,1.243710467683816212e+00,1.805586941956098146e+00,6.888122852375260230e-01,1.227702274715000597e+00,1.791654537282013848e+00,6.852338155420613086e-01
-4.700000000000000000e+01,1.292004897577606171e+00,1.836749794175698947e+00,7.034191056803331676e-01,1.275842019362097624e+00,1.822595408214773061e+00,7.000138448783765899e-01
-4.600000000000000000e+01,1.340417365690972362e+00,1.867984728104244541e+00,7.175740494684436088e-01,1.324115557144022848e+00,1.853617548630505096e+00,7.143412933926470698e-01
-4.500000000000000000e+01,1.388888888888889950e+00,1.899253688786117333e+00,7.312813959974877598e-01,1.372464074190961281e+00,1.884683162829707825e+00,7.282200537783291017e-01
-4.400000000000000000e+01,1.437360412086808426e+00,1.930518579809340052e+00,7.445462722398473732e-01,1.420828665282406922e+00,1.915754402146770063e+00,7.416549134326635428e-01
-4.300000000000000000e+01,1.485772880200174173e+00,1.961741309720187898e+00,7.573745186678546570e-01,1.469150405614109811e+00,1.946793411062741619e+00,7.546514166657829481e-01
-4.200000000000000000e+01,1.534067310093963465e+00,1.992883838431758203e+00,7.697725680294306150e-01,1.517370422588872669e+00,1.977762373326452217e+00,7.672157398953678431e-01
-4.100000000000000000e+01,1.582184862444536044e+00,2.023908223569955034e+00,7.817473361779879726e-01,1.565429967543731538e+00,2.008623558027784917e+00,7.793545790535217899e-01
-4.000000000000000000e+01,1.630066913426295061e+00,2.054776666700424137e+00,7.933061241365314542e-01,1.613270487326164737e+00,2.039339365566982476e+00,7.910750484030592000e-01
-3.900000000000000000e+01,1.677655126135776609e+00,2.085451559380135045e+00,8.044565305724151738e-01,1.660833695632088158e+00,2.069872373463967019e+00,8.023845899506617529e-01
-3.800000000000000000e+01,1.724891521666204630e+00,2.115895528977461471e+00,8.152063738703509976e-01,1.708061644018724401e+00,2.100185381951864549e+00,8.132908926502910862e-01
-3.700000000000000000e+01,1.771718549745831650e+00,2.146071484204979729e+00,8.255636230133179820e-01,1.754896792505880931e+00,2.130241459299193618e+00,8.238018206082640127e-01
-3.600000000000000000e+01,1.818079158854095656e+00,2.175942660309498233e+00,8.355363365115047181e-01,1.801282079679521031e+00,2.160003986805490772e+00,8.339253495284068007e-01
-3.500000000000000000e+01,1.863916865730095740e+00,2.205472663864232796e+00,8.451326086555552841e-01,1.847160992212332875e+00,2.189436703415553964e+00,8.436695106694493962e-01
-3.400000000000000000e+01,1.909175824188770410e+00,2.234625517108602022e+00,8.543605224105140783e-01,1.892477633716497465e+00,2.218503749897958066e+00,8.530423416248648083e-01
-3.300000000000000000e+01,1.953800893160833052e+00,2.263365701781580697e+00,8.632281083091974949e-01,1.937176792844838458e+00,2.247169712533998887e+00,8.620518432764030514e-01
-3.200000000000000000e+01,1.997737703873720960e+00,2.291658202395230770e+00,8.717433087472182818e-01,1.981204010557331197e+00,2.275399666263857146e+00,8.707059423149221544e-01
-3.100000000000000000e+01,2.040932726091515548e+00,2.319468548895676996e+00,8.799139471251828937e-01,2.024505646471073117e+00,2.303159217237404466e+00,8.790124587649780219e-01
-3.000000000000000000e+01,2.083333333333334814e+00,2.346762858659571016e+00,8.877477013264550854e-01,2.067028944212803143e+00,2.330414544717810177e+00,8.869790779919370927e-01
-2.900000000000000000e+01,2.124887866990561758e+00,2.373507877774823527e+00,8.952520810601461987e-01,2.108722095694432141e+00,2.357132442286900886e+00,8.946133267117312160e-01
-2.800000000000000000e+01,2.165545699264928903e+00,2.399671021555404238e+00,9.024344086387635633e-01,2.149534304233227111e+00,2.383280358302066304e+00,9.019225525630697460e-01
-2.700000000000000000e+01,2.205257294850657690e+00,2.425220414240735867e+00,9.093018027976058626e-01,2.189415846439712876e+00,2.408826435555418310e+00,9.089139068398198740e-01
-2.600000000000000000e+01,2.243974271285638533e+00,2.450124927831413224e+00,9.158611651985284485e-01,2.228318132797999951e+00,2.433739550086895242e+00,9.155943300171290877e-01
-2.500000000000000000e+01,2.281649457897972244e+00,2.474354220013871952e+00,9.221191692938696116e-01,2.266193766864590842e+00,2.457989349104011900e+00,9.219705397383700651e-01
-2.400000000000000000e+01,2.318236953276193280e+00,2.497878771127826081e+00,9.280822512573250194e-01,2.302996603013672150e+00,2.481546287962061559e+00,9.280490209614340458e-01
-2.300000000000000000e+01,2.353692181193055788e+00,2.520669920131423325e+00,9.337566027170818295e-01,2.338681802658443942e+00,2.504381666159714026e+00,9.338360179918747672e-01
-2.200000000000000000e+01,2.387971944914795586e+00,2.542699899520308726e+00,9.391481650529410752e-01,2.373205888880012271e+00,2.526467662306155049e+00,9.393375281572985402e-01
-2.100000000000000000e+01,2.421034479829716979e+00,2.563941869158053777e+00,9.442626250433421298e-01,2.406526799397354477e+00,2.547777368017167365e+00,9.445592969020906171e-01
-2.000000000000000000e+01,2.452839504331915332e+00,2.584369948976731113e+00,9.491054116703010468e-01,2.438603937813689893e+00,2.568284820698850890e+00,9.495068141041016485e-01
-1.900000000000000000e+01,2.483348268898226685e+00,2.603959250507785317e+00,9.536816939105176028e-01,2.469398223076966659e+00,2.587965035179043749e+00,9.541853114356800836e-01
-1.800000000000000000e+01,2.512523603298538966e+00,2.622685907204803435e+00,9.579963793591765864e-01,2.498872137094084955e+00,2.606794034147905670e+00,9.585997606101251955e-01
-1.700000000000000000e+01,2.540329961882004550e+00,2.640527103521217445e+00,9.620541135496782914e-01,2.526989770440928318e+00,2.624748877370580047e+00,9.627548723717962442e-01
-1.600000000000000000e+01,2.566733466883925008e+00,2.657461102707544764e+00,9.658592798475272856e-01,2.553716866112448525e+00,2.641807689636329837e+00,9.666550961035290657e-01
-1.500000000000000000e+01,2.591701949700611074e+00,2.673467273294253932e+00,9.694159998102795939e-01,2.579020861259562647e+00,2.657949687410119388e+00,9.703046199390387150e-01
-1.400000000000000000e+01,2.615204990081846592e+00,2.688526114228053654e+00,9.727281339176206965e-01,2.602870926861970080e+00,2.673155204154143760e+00,9.737073712805937031e-01
-1.300000000000000000e+01,2.637213953193288773e+00,2.702619278630898680e+00,9.757992825868010422e-01,2.625238005288550447e+00,2.687405714288480851e+00,9.768670176336251565e-01
-1.200000000000000000e+01,2.657702024503612925e+00,2.715729596152849812e+00,9.786327873984803638e-01,2.646094845699631382e+00,2.700683855761655039e+00,9.797869676802180017e-01
-1.100000000000000000e+01,2.676644242453873002e+00,2.727841093891496538e+00,9.812317324670158936e-01,2.665416037247915426e+00,2.712973451203623654e+00,9.824703725225880646e-01
-1.000000000000000000e+01,2.694017528869318667e+00,2.738939015852476899e+00,9.835989458972393962e-01,2.683178040037703660e+00,2.724259527635405576e+00,9.849201270360024019e-01
-9.000000000000000000e+00,2.709800717076603416e+00,2.749009840927388648e+00,9.857370012769550716e-01,2.699359213804628066e+00,2.734528334711357811e+00,9.871388712779815000e-01
-8.000000000000000000e+00,2.723974577692110710e+00,2.758041299367164800e+00,9.876482191608694228e-01,2.713939844280965907e+00,2.743767361471844080e+00,9.891289919073613657e-01
-7.000000000000000000e+00,2.736521842049995712e+00,2.766022387730888266e+00,9.893346685074760893e-01,2.726902167214458661e+00,2.751965351585920594e+00,9.908926235728156007e-01
-6.000000000000000000e+00,2.747427223241397876e+00,2.772943382291782388e+00,9.907981680356935383e-01,2.738230390011308746e+00,2.759112317065438358e+00,9.924316502358485614e-01
-5.000000000000000000e+00,2.756677434739180477e+00,2.778795850884069107e+00,9.920402874727728415e-01,2.747910710977010673e+00,2.765199550433865561e+00,9.937477063982083081e-01
-4.000000000000000000e+00,2.764261206585514330e+00,2.783572663176272943e+00,9.930623486693095359e-01,2.755931336131608678e+00,2.770219635335007702e+00,9.948421782081292575e-01
-3.000000000000000000e+00,2.770169299122603679e+00,2.787267999358428838e+00,9.938654265611484018e-01,2.762282493578836373e+00,2.774166455568699341e+00,9.957162044238521137e-01
-2.000000000000000000e+00,2.774394514249755250e+00,2.789877357232618316e+00,9.944503499615405806e-01,2.766956445411666188e+00,2.777035202542446068e+00,9.963706772166400771e-01
-1.000000000000000000e+00,2.776931704193189798e+00,2.791397557698216847e+00,9.948177021703222822e-01,2.769947497139753523e+00,2.778822381129956831e+00,9.968062427989390351e-01
